method; model; mean acc; med acc; mean cmp; med cmp
Camp; 1; 0.367335051; 0.169750268; 2.838073099; 0.150790202
Camp; 4; 0.465949251; 0.225681073; 2.581373386; 0.159274533
Camp; 9; 0.611762129; 0.355871532; 0.358205397; 0.139610386
Camp; 10; 0.542063171; 0.29289952; 1.497850203; 0.113983515
Camp; 11; 0.567993096; 0.22437779; 2.459198438; 0.247457946
Camp; 12; 0.632927111; 0.357267713; 0.813525624; 0.130402918
Camp; 13; 0.477487341; 0.195904912; 4.516785639; 0.20900851
Camp; 15; 0.621373299; 0.36493016; 0.421282023; 0.132696288
Camp; 23; 0.71576186; 0.402747588; 0.175714273; 0.135489104
Camp; 24; 1.007401501; 0.412030037; 0.161624272; 0.11098281
Camp; 29; 0.855904264; 0.50308952; 1.209808212; 0
Camp; 32; 0.703132791; 0.463140552; 0.83779111; 0.121079175
Camp; 33; 0.624224919; 0.379388642; 0.186979247; 0
Camp; 34; 0.470899074; 0.28553376; 0.291295874; 0.120297045
Camp; 48; 0.784867794; 0.53390385; 1.586359299; 0.155724362
Camp; 49; 0.921916047; 0.400266152; 0.204464037; 0
Camp; 62; 0.718233045; 0.47095079; 0.612687318; 0.098454307
Camp; 75; 0.986483203; 0.330769185; 0.176101066; 0
Camp; 77; 1.038244357; 0.407258062; 0.036312944; 0
Camp; 110; 0.444413794; 0.195361927; 0.39463745; 0.106327123
Camp; 114; 0.397048071; 0.210009599; 0.143885528; 0.131678496
Camp; 118; 4.384268521; 0.190842287; 0.206893688; 0.123351528

Furu; 1; 0.255353104; 0.145206841; 3.048388113; 0.339422817
Furu; 4; 0.342764179; 0.174407461; 2.86737472; 0.353739828
Furu; 9; 0.410742038; 0.227844279; 0.599668704; 0.295606211
Furu; 10; 0.405400402; 0.211369607; 1.68740039; 0.195731969
Furu; 11; 0.497443472; 0.189801355; 5.226168806; 1.077470118
Furu; 12; 0.435023368; 0.186653608; 0.807754458; 0.214934342
Furu; 13; 0.406126507; 0.170355106; 4.943021955; 0.610043998
Furu; 15; 0.430137309; 0.244028814; 0.648559745; 0.279958474
Furu; 23; 0.406119329; 0.278019217; 0.410842017; 0.289472168
Furu; 24; 0.318434692; 0.220935994; 0.309025666; 0.180708188
Furu; 29; 0.461151936; 0.210996214; 1.393984874; 0
Furu; 32; 0.714308417; 0.32717299; 0.680894452; 0.189271391
Furu; 33; 0.43092906; 0.184777906; 0.367249958; 0
Furu; 34; 0.31625295; 0.18687045; 0.445606381; 0.202404307
Furu; 48; 0.731269868; 0.392966194; 1.784228653; 0.344622194
Furu; 49; 0.67460798; 0.188231783; 0.44512166; 0
Furu; 62; 0.88105451; 0.351547809; 0.947811747; 0.159799986
Furu; 75; 1.087833719; 0.172675217; 0.281904254; 0
Furu; 77; 0.884251933; 0.232724028; 0.068994938; 0
Furu; 110; 0.395180845; 0.132525513; 0.6205433; 0.204960435
Furu; 114; 0.322583447; 0.152523794; 0.315828825; 0.257131649
Furu; 118; 0.280863665; 0.152546261; 0.436829839; 0.217383261

gipuma; 1; 0.229400374; 0.164535856; 2.921644232; 0.211227445
gipuma; 4; 0.216717872; 0.160556751; 2.740662282; 0.208193815
gipuma; 9; 0.314728802; 0.212797408; 0.595632409; 0.213317737
gipuma; 10; 0.301397541; 0.193008361; 1.511909323; 0.127503383
gipuma; 11; 0.255863087; 0.159970957; 2.662432267; 0.391920642
gipuma; 12; 0.251810157; 0.160626148; 0.768814677; 0.139370426
gipuma; 13; 0.339970843; 0.149358944; 5.629989749; 0.651141395
gipuma; 15; 0.298854084; 0.212002016; 0.601747289; 0.195446786
gipuma; 23; 0.303214386; 0.237506964; 0.395207838; 0.202848951
gipuma; 24; 0.283364973; 0.232054148; 0.274874378; 0.151039237
gipuma; 29; 0.269529445; 0.203232773; 5.471869849; 0
gipuma; 32; 0.247423779; 0.188774702; 1.277540512; 0.145019749
gipuma; 33; 0.242976726; 0.180045114; 0.818370297; 0
gipuma; 34; 0.241742635; 0.187003178; 0.575948582; 0.150432178
